id	date_rel	likes	comments	views	title
aaVT_OVbage_Ksnu	4 месяца назад	2	32		Как сделать ужин как в ресторане
aaVdOyynFl-Iil2Y	4 месяца назад	45	51	1127	Наставничество (тьюторство) – профессия будущего
aWzCgTr96jFJd127	4 месяца назад	2191	491	164,8 тыс	Почему нож справа, а вилка слева?
aWzN1FbkQw_B5XR_	4 месяца назад	1472	658	99,2 тыс	Какие правила этикета постоянно нарушают?
aaAMMtD1lwxAw_7d	4 месяца назад	1	21		Нужны ли подставки под напитки?
aZ62vH4_rTKRHnYL	5 месяцев назад	112	305	17,8 тыс	Нужен ли дресс-код в спортзалах?
aZxFKElIGCOB8STG	5 месяцев назад	3	36		Как стильно накрыть стол за 15 минут
aZwif0lIGCOBxSj3	5 месяцев назад	991	458	67,2 тыс	Этикет для школьников
aZgbMffJsXxmzrYb	5 месяцев назад	179	218	9711	Этикет на 23 февраля
aZgY4Jfd7wnF-1_E	5 месяцев назад	42	3	580	Этикет для персонала
aZTU_Z4SYmilm8Gf	5 месяцев назад	2	67		Этикет конфет
aZTTR-pPmGftmSAb	5 месяцев назад	19	3	489	ЗимФестАмур
aZNo0NwRbkWf4-Kr	5 месяцев назад	4	146		Как подавать и есть тирамису
aZLdUD1VLRjWV1XJ	5 месяцев назад	434	186	10,9 тыс	Туалет или уборная?
aYxZfWwd009TRMEN	5 месяцев назад	56	44	1263	Этикет Дня Святого Валентина
aYxVnEdj7UchCzoM	5 месяцев назад	64	23	2387	Голосовые сообщения: минусы и плюсы
aYxQ9kr5VUjvNLzb	5 месяцев назад	3	22		Передавайте кружки правильно
aWzJZgozES5Gd8hY	5 месяцев назад	439	40	11 тыс	3 секретных сигнала хороших манер
aYmfrA-DsVg9-JIR	5 месяцев назад	801	77,3 тыс		Как есть помидоры черри
aYmeoNsSrnRGw7FE	5 месяцев назад	41	10	1746	Китайский Новый Год
aYbruKnLeEnw1uza	5 месяцев назад	92	19	5487	Масленица
aYW3j9sSrnRG5tkI	5 месяцев назад	1142	125	33,8 тыс	Наглость или забота гостей?
aYRtTLZOIQ7JSZ6t	5 месяцев назад	4	63		Мясо не всегда режется ножом
aYMXdUd6hhzgrg3Q	5 месяцев назад	1352	129	58,5 тыс	100 правил этикета
aYBlqCEWjXGlHWY7	5 месяцев назад	1	72		Сухие цветы: можно ли дарить по этикету
aYBiyHHwln_Zc_0E	5 месяцев назад	97	26	2134	Не стоит извиняться за всё подряд
aX29-VPYWVytyJOj	5 месяцев назад	3299	797	228,4 тыс	Привычка перебивать собеседника
aXx7ln7GbWT5Xrz4	5 месяцев назад	1745	424	63 тыс	Джентльмен не пропустит леди...
aXYCX2GDOTE_sQ8V	5 месяцев назад	1457	321,4 тыс		Можно ли мыть посуду при гостях
aXnn6UQ3gztGtOo8	5 месяцев назад	47	9	699	Как элегантно попросить повышение
aXX8P8_OSmXLKzM5	5 месяцев назад	7	221		С какой едой сочетать красное вино
aXdJCia1xhUefHT3	6 месяцев назад	285	97	23,9 тыс	Как пережить хамство на работе после выходных
aWzIVSghulUT0aVr	6 месяцев назад	54	30	616	Как не стать плохим гостем
aXNBfm9VMD50vRGm	6 месяцев назад	50	11	1128	Как обсуждать здоровье по этикету
aWzBC7OGi053h98m	6 месяцев назад	9	73		Этикет чаепития
aXCgeQd-jwRfE0a2	6 месяцев назад	33	19	588	Обострение хронической тупости после праздников
aWzC-Tr96jFJd_WZ	6 месяцев назад	3	223		Как отличить фарфор от фаянса
aWy4L8cb3EOls8g7	6 месяцев назад	21	13	315	Оценки за поведение введут во все школы с 1 сентября
aWFE1KXrtxvo7aSC	6 месяцев назад	299	200	11,1 тыс	Правила этикета на прогулке с собакой
aWFHcqReTmfDIRQH	6 месяцев назад	220	272	32,6 тыс	Этикет на сайте знакомств
aWFJki4rShKLAnm8	6 месяцев назад	17	2390		Можно ли приходить в гости с животными
aVFXTcNiO0Wenb5o	6 месяцев назад	1452	469	207,6 тыс	Фамилии, которые стали словами
aWFHuOPbXGBhp76S	6 месяцев назад	12	269		Где сидят хозяева, где гости: схема рассадки
aVFygNJHaSg_3Q0C	6 месяцев назад	57	28	689	Балы в Российской империи
aVFVbkPBn05vgjc4	6 месяцев назад	854	148	33,2 тыс	Не хватает только спасибо
aVFKIx51Ij69Cnoa	6 месяцев назад	3	11		Рождество: отличие в тоне и традициях
aVFTNsNiO0WemIcY	6 месяцев назад	57	6	470	Как получить 50 тысяч подписчиков за год
aVFPWW_G1yJNJ7f_	6 месяцев назад	3	17		Телефоны за новогодним столом: допустимо или моветон
aVFURaXrtxvoNxek	6 месяцев назад	184	32	9044	Как отмечали Новый год в Царской России?
aUge8XZ-RQ2si_xO	7 месяцев назад	63	8	639	Настоящие или искусственные свечи на столе?
aUgR-XCHshQPdLId	7 месяцев назад	565	133	65,6 тыс	Как сказать плохой тост
aUgGfvSpOUYBrrGU	7 месяцев назад	4	47		Можно ли чокаться стаканами с водой
aUgcEJgFnkx3fmFy	7 месяцев назад	96	20	2818	Как есть закуски за праздничным столом
aUgEwvSpOUYBrIBl	7 месяцев назад	8	74		Как создать ощущение праздника, даже если Новый год без размаха
aUmbDWS-AUd3e9HC	7 месяцев назад	48	15	1106	Винтаж как часть сервировки
aUgZHnd27B1CX7s1	7 месяцев назад	1304	243	52,7 тыс	Самый раздражающий гость, это вы?
aT6fRwl2FByv-HHt	7 месяцев назад	921	250	59,9 тыс	Когда пора уходить с новогоднего застолья
aT6hDlZvYWWH1r9D	7 месяцев назад	93	19	1911	Как не выглядеть смешно на корпоративе
